Simulation 1,s1,s2,,Simulation 2,s1,s2,,Simulation 2,s1,s2,,Simulation 1,
0.68,83.5449,72.465,,0.68,83.5449,140.262,,0.68,83.5449,133.545,,,
0.69,83.1115,71.8163,,0.69,83.1115,138.804,,0.69,83.1115,134.821,,,
0.7,82.4552,70.8328,,0.7,82.4552,138.396,,0.7,82.4552,136.748,,,
0.71,81.2233,68.9897,,0.71,81.2233,133.397,,0.71,81.2233,140.388,,,
0.72,83.2638,72.0313,,0.72,83.2638,131.223,,0.72,83.2638,134.283,,,
0.73,83.1882,71.926,,0.73,83.1882,131.65,,0.73,83.1882,134.56,,,
0.74,83.8075,72.8719,,0.74,83.8075,137.507,,0.74,83.8075,132.871,,,
0.75,87.1448,77.9593,,0.75,87.1448,133.729,,0.75,87.1448,123.675,,,
0.76,88.0857,79.442,,0.76,88.0857,138.717,,0.76,88.0857,121.397,,,
0.77,86.289,76.6163,,0.77,86.289,137.788,,0.77,86.289,125.788,,,
0.78,84.5407,73.9094,,0.78,84.5407,137.631,,0.78,84.5407,130.307,,,
0.79,85.0622,74.7164,,0.79,85.0622,141.95,,0.79,85.0622,128.963,,,
0.8,86.181,76.4454,,0.8,86.181,131.806,,0.8,86.181,126.056,,,
0.81,85.6232,75.5892,,0.81,85.6232,130.794,,0.81,85.6232,127.543,,,
0.82,91.9105,85.3119,,0.82,91.9105,134.476,,0.82,91.9105,111.214,,,
0.83,92.9092,86.945,,0.83,92.9092,139.285,,0.83,92.9092,109.152,,,
0.84,96.7701,93.2786,,0.84,96.7701,135.729,,0.84,96.7701,101.266,,,
0.85,97.7739,94.9835,,0.85,97.7739,125.916,,0.85,97.7739,99.4762,,,
0.86,98.6965,96.5639,,0.86,98.6965,123.128,,0.86,98.6965,97.8808,,,
0.87,97.4989,94.5254,,0.87,97.4989,121.21,,0.87,97.4989,100.006,,,
0.88,94.7503,89.8739,,0.88,94.7503,118.799,,0.88,94.7503,104.987,,,
0.89,94.6642,89.7422,,0.89,94.6642,122.531,,0.89,94.6642,105.204,,,
0.9,97.0085,93.6427,,0.9,97.0085,119.986,,0.9,97.0085,100.694,,,
0.91,95.5799,91.2411,,0.91,95.5799,126.67,,0.91,95.5799,103.337,,,
0.92,96.3601,92.5559,,0.92,96.3601,134.924,,0.92,96.3601,101.91,,,
0.93,96.3836,92.6069,,0.93,96.3836,137.062,,0.93,96.3836,101.915,,,
0.94,99.1174,97.2153,,0.94,99.1174,134.45,,0.94,99.1174,96.9048,,,
0.95,98.8438,96.7578,,0.95,98.8438,134.652,,0.95,98.8438,97.419,,,
0.96,100.796,100.114,,0.96,100.796,128.338,,0.96,100.796,94.0985,,,
0.97,99.9128,98.5915,,0.97,99.9128,125.304,,0.97,99.9128,95.5858,,,
0.98,101.954,102.129,,0.98,101.954,124.019,,0.98,101.954,92.2133,,,
0.99,101.73,101.749,,0.99,101.73,125.31,,0.99,101.73,92.6114,,,
